S. No,PlanPlatform,TypeofPlan,PlanEffDate,PlanTermDate,Benefits,City,State,Members,Claims
628,Medicaid,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,YY,PA,52,52
629,Medicare,EPOs,1/1/2018,1/31/2019,Pharmacy,ZZ,Ohio,150,42
630,Medicare,Medicare Part D,5/31/2019,12/31/9999,Dental,AA,PA,32,16
631,Traditional,Medicare Part B,7/1/2019,12/31/9999,Dental,YY,PA,32,85
632,Medicaid,Medicare Part B,5/31/2019,12/31/9999,Dental,AA,PA,52,31
633,Medicare,POS,6/15/2017,12/31/2017,Pharmacy,YY,CT,85,42
634,HMO,Medicare Part B,1/1/2017,12/31/9999,clinical,AA,Ohio,12,42
635,HMO,HMO Commercial,7/1/2019,5/31/2019,Pharmacy,AA,CT,83,8
636,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,YY,CT,12,85
637,Medicare,HNO,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,65,52
638,HMO,Medicare Part D,1/1/2017,12/31/9999,Dental,Avon,Ohio,52,42
639,HMO,EPOs,1/31/2017,6/30/2019,Pharmacy,YY,CT,83,16
640,Medicare,EPOs,5/31/2019,12/31/9999,Pharmacy,AA,CT,86,16
641,Traditional,Medicare Part B,5/31/2019,6/30/2019,Dental,AA,PA,65,42
642,Traditional,Medicare Part B,5/31/2019,1/31/2019,clinical,YY,Ohio,52,70
643,Medicare,HMO Commercial,1/31/2017,5/31/2019,Pharmacy,AA,Ohio,83,16
644,Medicare,PPO,7/1/2019,1/31/2019,Pharmacy,AA,Ohio,12,70
645,Medicare,EPOs,7/1/2019,12/31/9999,Pharmacy,ZZ,Ohio,65,85
646,Medicare,Medicare Part D,1/1/2017,5/31/2019,clinical,AA,CT,32,8
647,HMO,PPO,7/1/2019,12/31/2017,Pharmacy,ZZ,PA,83,8
648,HMO,EPOs,1/1/2018,5/31/2019,Pharmacy,AA,PA,12,45
649,Traditional,Medicaid,7/1/2019,6/30/2019,Dental,AA,Ohio,32,70
650,HMO,Medicaid,5/31/2019,5/30/2019,Dental,YY,TX,65,8
651,HMO,HMO Commercial,6/15/2017,12/31/9999,clinical,AA,Ohio,83,8
652,Traditional,HMO Commercial,7/1/2019,5/31/2019,Dental,YY,CT,65,45
653,HMO,POS,7/1/2019,1/31/2019,Pharmacy,AA,CT,83,42
654,HMO,HMO Commercial,5/31/2019,5/30/2019,Dental,AA,PA,85,42
655,HMO,POS,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,65,42
656,Medicare,Medicaid,5/31/2019,12/31/9999,Dental,ZZ,PA,52,8
657,HMO,HMO Commercial,7/1/2019,6/30/2019,Pharmacy,AA,Ohio,52,45
658,HMO,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,XX,PA,150,8
659,Medicare,Medicare Part B,5/31/2019,5/31/2019,Dental,Avon,Ohio,32,42
660,Medicare,HMO Commercial,5/31/2019,12/31/9999,Dental,YY,CT,150,120
661,Traditional,Medicaid,5/31/2019,12/31/9999,Dental,AA,PA,32,42
662,HMO,Medicare Advantage / Part C,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,12,52
663,HMO,Medicare Advantage / Part C,7/1/2019,6/30/2019,Pharmacy,AA,Ohio,85,70
664,Medicare,HNO,1/31/2017,5/31/2019,Pharmacy,ZZ,PA,32,70
665,HMO,PPO,5/31/2019,5/31/2019,Pharmacy,AA,CT,52,70
666,Medicare,HMO Medical,1/1/2017,12/31/9999,Dental,Avon,CT,65,42
667,HMO,Medicare Part A,1/1/2017,6/30/2019,Dental,AA,Ohio,65,70
668,HMO,Medicare Advantage / Part C,5/31/2019,6/30/2019,Pharmacy,AA,PA,65,42
669,Traditional,PPO,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,83,70
670,Medicare,EPOs,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,32,120
671,Traditional,Medicare Part B,7/1/2019,5/30/2019,Dental,ZZ,PA,83,52
672,Medicare,Medicare Part B,1/1/2017,12/31/9999,clinical,AA,PA,85,16
673,Traditional,Medicare Part A,6/15/2017,5/31/2019,Dental,AA,Ohio,85,16
674,Medicare,Medicare Part D,5/31/2019,12/31/2017,Pharmacy,ZZ,CT,32,120
675,Medicaid,Medicaid,5/31/2019,12/31/2017,clinical,Avon,TX,83,52
676,Medicare,PPO,5/31/2019,12/31/9999,Pharmacy,YY,PA,86,16
677,HMO,HMO Commercial,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,65,45
678,Medicare,HNO,5/31/2019,12/31/9999,Pharmacy,ZZ,TX,52,42
679,Medicare,PPO,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,65,70
680,Medicare,HMO Medical,5/31/2019,12/31/9999,Pharmacy,XX,Ohio,52,120
681,HMO,Medicare Part A,1/1/2017,12/31/9999,clinical,YY,PA,150,31
682,HMO,PPO,7/1/2019,12/31/2017,clinical,Avon,CT,12,42
683,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/2017,clinical,AA,TX,150,70
684,HMO,Medicare Part D,5/31/2019,6/30/2019,clinical,Avon,Ohio,32,45
685,Medicare,POS,5/31/2019,12/31/9999,Pharmacy,AA,CT,85,70
686,Medicare,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,Avon,CT,52,16
687,HMO,Medicare Part D,5/31/2019,5/31/2019,Dental,AA,Ohio,32,16
688,Medicaid,POS,6/15/2017,12/31/9999,clinical,AA,CT,32,85
689,Medicare,Medicare Part B,5/31/2019,12/31/2017,Pharmacy,Avon,Ohio,150,42
690,HMO,Medicare Part D,5/31/2019,6/30/2019,clinical,AA,CT,150,52
691,Medicare,EPOs,5/31/2019,5/31/2019,Pharmacy,YY,PA,86,16
692,Traditional,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,32,120
693,Medicare,HMO Medical,5/31/2019,12/31/9999,Pharmacy,YY,CT,83,85
694,Medicare,Medicaid,5/31/2019,12/31/9999,clinical,AA,Ohio,65,42
695,Traditional,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,32,85
696,HMO,HMO Medical,7/1/2019,5/31/2019,Pharmacy,ZZ,PA,85,16
697,Medicare,Medicaid,5/31/2019,12/31/9999,Pharmacy,YY,PA,150,52
698,Medicare,EPOs,7/1/2019,6/30/2019,Pharmacy,AA,TX,83,16
699,HMO,HNO,7/1/2019,12/31/2017,clinical,AA,Ohio,12,120
700,Medicare,POS,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,86,42
701,Traditional,EPOs,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,12,70
702,Medicare,Medicaid,5/31/2019,1/31/2019,Pharmacy,Avon,TX,47,16
703,Traditional,PPO,7/1/2019,12/31/9999,clinical,Avon,PA,150,52
704,HMO,POS,7/1/2019,12/31/9999,Dental,Avon,Ohio,83,31
705,Traditional,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,Avon,CT,32,42
706,Medicare,Medicaid,7/1/2019,12/31/9999,clinical,AA,Ohio,86,52
707,HMO,Medicare Part D,5/31/2019,12/31/9999,Pharmacy,AA,TX,32,42
708,Medicaid,Medicare Part A,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,12,16
709,Medicare,HNO,1/1/2017,12/31/9999,Pharmacy,YY,PA,83,70
710,HMO,HMO Commercial,7/1/2019,5/30/2019,Pharmacy,YY,Ohio,150,8
711,HMO,HNO,7/1/2019,12/31/9999,Pharmacy,ZZ,Ohio,83,16
712,HMO,EPOs,1/31/2017,5/31/2019,Pharmacy,Avon,Ohio,65,52
713,HMO,HMO Medical,7/1/2019,12/31/9999,Pharmacy,AA,CT,86,85
714,Medicare,EPOs,7/1/2019,12/31/9999,Dental,Avon,TX,83,42
715,Medicare,Medicare Part B,1/1/2018,12/31/9999,clinical,ZZ,Ohio,12,8
716,Medicare,HNO,5/31/2019,5/30/2019,clinical,AA,CT,32,120
717,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,AA,TX,83,45
718,HMO,HMO Commercial,5/31/2019,12/31/9999,Pharmacy,AA,CT,32,31
719,Traditional,PPO,5/31/2019,5/30/2019,Dental,AA,Ohio,32,70
720,HMO,Medicare Part B,7/1/2019,1/31/2019,Pharmacy,Avon,Ohio,83,16
721,Medicare,HNO,5/31/2019,5/31/2019,Pharmacy,XX,Ohio,85,120
722,Medicare,HMO Commercial,5/31/2019,12/31/9999,Pharmacy,Avon,CT,86,85
723,Medicare,Medicare Part A,5/31/2019,6/30/2019,Pharmacy,Avon,Ohio,83,16
724,HMO,Medicare Part A,7/1/2019,1/31/2019,Dental,Avon,Ohio,52,85
725,HMO,POS,1/1/2017,12/31/2017,Pharmacy,Avon,Ohio,65,70
726,Medicare,POS,1/1/2017,12/31/9999,Pharmacy,Avon,CT,86,16
727,Traditional,HMO Commercial,1/1/2018,12/31/9999,Pharmacy,XX,PA,65,16
728,Medicaid,HMO Commercial,7/1/2019,12/31/2017,Dental,YY,Ohio,65,16
729,Traditional,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,YY,PA,86,45
730,HMO,POS,7/1/2019,12/31/9999,clinical,AA,CT,85,120
731,Medicare,Medicaid,7/1/2019,12/31/9999,Pharmacy,Avon,PA,150,70
732,Medicare,Medicare Part A,7/1/2019,12/31/9999,Dental,AA,PA,83,8
733,Medicare,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,YY,CT,65,52
734,Medicaid,HMO Commercial,5/31/2019,5/30/2019,Pharmacy,Avon,Ohio,65,70
735,HMO,Medicare Advantage / Part C,7/1/2019,12/31/9999,clinical,AA,CT,12,85
736,Traditional,Medicare Part D,5/31/2019,6/30/2019,Pharmacy,AA,TX,86,8
737,Medicaid,Medicare Part D,6/15/2017,12/31/9999,clinical,AA,PA,83,120
738,Traditional,Medicare Advantage / Part C,1/1/2018,5/30/2019,clinical,AA,PA,65,70
739,Traditional,HMO Commercial,7/1/2019,1/31/2019,Pharmacy,Avon,Ohio,85,42
740,Traditional,HMO Commercial,6/15/2017,12/31/9999,Dental,AA,Ohio,12,45
741,Traditional,POS,5/31/2019,6/30/2019,Pharmacy,XX,TX,83,70
742,Medicare,Medicare Advantage / Part C,7/1/2019,1/31/2019,Pharmacy,YY,Ohio,150,42
743,Traditional,Medicare Part A,5/31/2019,5/30/2019,Dental,AA,Ohio,65,42
744,Medicaid,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,Avon,PA,47,16
745,HMO,POS,5/31/2019,6/30/2019,Pharmacy,Avon,PA,32,70
746,HMO,Medicare Part D,1/31/2017,12/31/9999,Pharmacy,YY,PA,47,70
747,HMO,HMO Commercial,5/31/2019,6/30/2019,clinical,YY,Ohio,32,70
748,Medicare,POS,7/1/2019,5/30/2019,Pharmacy,Avon,PA,86,85
749,HMO,Medicare Part B,1/1/2017,12/31/2017,clinical,Avon,Ohio,47,8
750,Medicare,HMO Medical,1/1/2017,12/31/9999,Dental,XX,Ohio,65,16
751,Traditional,HNO,5/31/2019,1/31/2019,Dental,Avon,TX,32,70
752,Traditional,HMO Commercial,7/1/2019,6/30/2019,Dental,AA,Ohio,65,70
753,Traditional,Medicare Advantage / Part C,5/31/2019,5/31/2019,Dental,AA,Ohio,12,42
754,Medicare,EPOs,5/31/2019,1/31/2019,clinical,XX,PA,52,8
755,HMO,Medicaid,1/31/2017,1/31/2019,clinical,YY,PA,65,120
756,Medicare,Medicaid,1/1/2017,5/31/2019,Dental,YY,TX,32,52
757,HMO,PPO,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,52,8
758,HMO,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,52,42
759,Medicare,HMO Medical,7/1/2019,12/31/9999,Dental,AA,Ohio,32,42
760,Medicare,Medicare Advantage / Part C,5/31/2019,5/31/2019,Pharmacy,AA,Ohio,65,70
761,Medicare,Medicare Part D,1/1/2018,5/31/2019,Pharmacy,YY,CT,32,52
762,Traditional,PPO,5/31/2019,12/31/9999,Pharmacy,Avon,PA,65,45
763,Medicare,Medicare Part A,7/1/2019,6/30/2019,Dental,ZZ,PA,83,52
764,Medicare,HMO Medical,5/31/2019,12/31/9999,Pharmacy,YY,PA,52,8
765,Medicare,PPO,1/31/2017,12/31/9999,Pharmacy,AA,CT,86,31
766,HMO,Medicare Part A,1/1/2017,5/31/2019,Dental,ZZ,CT,32,120
767,HMO,Medicare Part D,5/31/2019,6/30/2019,clinical,YY,PA,47,31
768,HMO,EPOs,1/1/2017,12/31/9999,Dental,AA,CT,83,16
769,Medicaid,HMO Medical,7/1/2019,5/30/2019,Dental,Avon,Ohio,32,120
770,Medicare,PPO,6/15/2017,5/31/2019,Pharmacy,XX,CT,83,31
771,Medicare,EPOs,7/1/2019,12/31/9999,Pharmacy,Avon,CT,47,42
772,Medicare,EPOs,1/31/2017,5/31/2019,Pharmacy,Avon,CT,47,31
773,Medicare,EPOs,1/1/2017,12/31/9999,Pharmacy,AA,PA,86,42
774,Medicare,PPO,5/31/2019,6/30/2019,Pharmacy,YY,Ohio,12,42
775,Medicare,PPO,1/1/2018,5/30/2019,Pharmacy,AA,CT,32,52
776,Traditional,HMO Commercial,1/1/2017,12/31/9999,clinical,ZZ,Ohio,83,52
777,Traditional,Medicaid,5/31/2019,12/31/2017,Dental,Avon,CT,65,16
778,HMO,PPO,5/31/2019,6/30/2019,Pharmacy,YY,PA,32,120
779,HMO,Medicare Part D,6/15/2017,1/31/2019,Dental,AA,TX,65,16
780,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,YY,PA,83,52
781,Medicaid,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,YY,Ohio,32,70
782,Traditional,HMO Medical,1/1/2017,12/31/2017,Pharmacy,AA,PA,86,120
783,HMO,HMO Medical,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,65,42
784,Medicaid,POS,1/1/2017,12/31/9999,clinical,AA,CT,12,70
785,Medicare,HMO Medical,5/31/2019,6/30/2019,Pharmacy,AA,PA,32,70
786,HMO,Medicare Part A,5/31/2019,12/31/9999,clinical,Avon,CT,65,85
787,Medicare,Medicare Part D,1/1/2018,12/31/2017,Dental,ZZ,Ohio,65,70
788,HMO,HMO Medical,7/1/2019,5/31/2019,clinical,AA,Ohio,83,16
789,Medicaid,HNO,1/1/2018,5/31/2019,Pharmacy,YY,PA,150,45
790,Traditional,Medicare Part B,1/1/2018,12/31/9999,clinical,XX,Ohio,85,31
791,HMO,HMO Commercial,5/31/2019,6/30/2019,Dental,YY,TX,86,42
792,Traditional,HMO Medical,1/31/2017,12/31/2017,Pharmacy,Avon,CT,83,45
793,Medicare,Medicaid,5/31/2019,12/31/9999,Dental,Avon,Ohio,32,120
794,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,Avon,PA,32,8
795,Medicare,Medicare Part D,6/15/2017,1/31/2019,Dental,YY,Ohio,83,31
796,Traditional,HMO Commercial,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,150,16
797,Traditional,Medicare Part D,5/31/2019,5/31/2019,Pharmacy,YY,CT,83,70
798,HMO,Medicare Part D,5/31/2019,6/30/2019,Pharmacy,ZZ,Ohio,83,52
799,Traditional,HMO Commercial,5/31/2019,6/30/2019,clinical,ZZ,TX,83,31
800,HMO,Medicare Part A,1/31/2017,12/31/9999,Dental,Avon,PA,12,31
801,Medicare,Medicaid,1/31/2017,5/30/2019,Pharmacy,XX,TX,32,31
802,HMO,Medicare Part A,5/31/2019,6/30/2019,clinical,YY,Ohio,86,70
803,Traditional,Medicare Part D,7/1/2019,5/31/2019,Dental,AA,PA,47,70
804,Medicare,POS,5/31/2019,5/31/2019,Pharmacy,XX,Ohio,12,42
805,HMO,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,AA,CT,86,85
806,Traditional,Medicare Part A,7/1/2019,12/31/9999,clinical,AA,PA,12,120
807,Medicaid,HNO,7/1/2019,1/31/2019,Dental,YY,Ohio,32,31
808,HMO,PPO,5/31/2019,1/31/2019,clinical,AA,TX,85,16
809,Medicare,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,ZZ,CT,83,120
810,Medicaid,Medicare Part B,6/15/2017,12/31/9999,Pharmacy,AA,CT,85,42
811,Medicare,Medicare Part A,1/1/2017,12/31/9999,Dental,Avon,Ohio,86,45
812,Medicare,PPO,5/31/2019,12/31/9999,Pharmacy,AA,CT,52,45
813,Traditional,Medicare Part A,7/1/2019,5/31/2019,clinical,Avon,PA,86,8
814,HMO,HMO Commercial,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,83,42
815,HMO,HMO Medical,5/31/2019,12/31/9999,clinical,AA,PA,52,42
816,Medicare,Medicare Advantage / Part C,1/1/2017,1/31/2019,Dental,YY,CT,85,70
817,HMO,HMO Medical,5/31/2019,12/31/9999,Pharmacy,Avon,CT,52,52
818,Medicare,HMO Medical,1/31/2017,12/31/9999,Pharmacy,YY,Ohio,32,16
819,Traditional,HMO Commercial,5/31/2019,12/31/9999,clinical,AA,PA,150,70
820,HMO,HMO Medical,5/31/2019,12/31/9999,Pharmacy,XX,CT,32,31
821,Traditional,HNO,5/31/2019,12/31/9999,clinical,XX,TX,85,16
822,Traditional,POS,1/1/2017,6/30/2019,clinical,AA,Ohio,83,45
823,HMO,Medicare Part B,1/1/2018,12/31/9999,clinical,YY,PA,52,52
824,Traditional,POS,1/31/2017,12/31/9999,clinical,AA,CT,86,31
825,Traditional,HMO Medical,1/1/2017,1/31/2019,Dental,YY,Ohio,32,45
826,Traditional,Medicare Advantage / Part C,1/31/2017,12/31/9999,Pharmacy,YY,Ohio,32,45
827,Traditional,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,YY,TX,65,16
828,HMO,HMO Medical,7/1/2019,1/31/2019,Dental,Avon,PA,150,16
829,Traditional,Medicare Part A,1/31/2017,5/31/2019,Pharmacy,Avon,PA,32,70
830,HMO,PPO,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,83,120
831,Medicare,HMO Commercial,5/31/2019,5/30/2019,Dental,Avon,TX,83,45
832,HMO,Medicare Part B,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,47,16
833,HMO,POS,1/1/2017,12/31/9999,Pharmacy,AA,Ohio,86,42
834,Traditional,HNO,5/31/2019,12/31/9999,Dental,YY,Ohio,47,42
835,Medicare,Medicare Part A,5/31/2019,6/30/2019,Dental,YY,CT,65,42
836,Medicare,Medicare Part B,5/31/2019,12/31/2017,clinical,Avon,Ohio,32,120
837,Medicare,Medicare Part A,1/1/2017,5/31/2019,Pharmacy,AA,PA,86,45
838,Medicaid,Medicare Part A,6/15/2017,6/30/2019,Pharmacy,ZZ,PA,32,42
839,Traditional,Medicaid,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,83,70
840,Medicare,Medicaid,5/31/2019,5/31/2019,Pharmacy,AA,PA,83,45
841,HMO,Medicare Advantage / Part C,1/31/2017,12/31/9999,Dental,AA,TX,85,42
842,Traditional,Medicare Part B,1/1/2017,5/30/2019,Pharmacy,YY,PA,32,85
843,Medicare,Medicare Part D,5/31/2019,12/31/9999,Dental,Avon,Ohio,32,16
844,Medicaid,Medicare Advantage / Part C,1/1/2017,5/31/2019,clinical,AA,Ohio,32,16
845,HMO,Medicare Part A,7/1/2019,12/31/9999,clinical,XX,Ohio,47,85
846,HMO,Medicaid,5/31/2019,12/31/9999,Pharmacy,Avon,CT,83,42
847,Medicaid,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,YY,TX,150,52
848,HMO,EPOs,1/31/2017,12/31/9999,Pharmacy,Avon,Ohio,12,120
849,HMO,HMO Commercial,7/1/2019,5/31/2019,Pharmacy,Avon,CT,150,85
850,Medicare,HMO Commercial,5/31/2019,12/31/9999,Dental,ZZ,CT,32,42
851,Traditional,Medicare Part A,1/1/2018,6/30/2019,clinical,YY,PA,83,42
852,Traditional,HNO,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,86,70
853,Medicare,Medicare Part A,1/31/2017,12/31/2017,clinical,AA,CT,83,45
854,HMO,POS,7/1/2019,5/30/2019,Dental,AA,CT,83,70
855,Medicaid,Medicare Part D,7/1/2019,1/31/2019,clinical,AA,PA,85,16
856,HMO,EPOs,1/1/2017,5/31/2019,Dental,YY,CT,85,16
857,HMO,Medicare Part D,5/31/2019,6/30/2019,Pharmacy,YY,PA,86,70
858,Medicaid,HMO Commercial,5/31/2019,12/31/9999,clinical,YY,CT,32,16
859,Traditional,POS,1/31/2017,12/31/9999,Pharmacy,YY,Ohio,65,70
860,Medicare,Medicare Part B,1/1/2018,12/31/9999,Dental,YY,PA,150,45
861,Medicare,HMO Medical,5/31/2019,1/31/2019,Pharmacy,XX,Ohio,32,70
862,Medicare,Medicare Advantage / Part C,5/31/2019,1/31/2019,clinical,YY,PA,85,45
863,Traditional,POS,1/1/2017,12/31/9999,Dental,Avon,Ohio,32,31
864,HMO,Medicaid,7/1/2019,12/31/2017,Pharmacy,YY,Ohio,65,31
865,HMO,Medicare Part D,7/1/2019,12/31/9999,Dental,AA,Ohio,83,52
866,Medicare,EPOs,1/1/2018,5/31/2019,clinical,Avon,CT,52,31
867,Medicare,Medicare Part B,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,65,8
868,Traditional,Medicare Part A,5/31/2019,12/31/9999,clinical,AA,PA,52,8
869,HMO,PPO,6/15/2017,6/30/2019,Pharmacy,AA,CT,52,45
870,HMO,POS,5/31/2019,12/31/2017,clinical,ZZ,Ohio,52,16
871,Medicare,Medicare Part D,1/1/2017,12/31/2017,Pharmacy,AA,PA,150,31
872,Medicare,HNO,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,83,52
873,HMO,Medicare Advantage / Part C,7/1/2019,12/31/9999,clinical,AA,CT,86,42
874,Medicare,EPOs,5/31/2019,1/31/2019,clinical,ZZ,PA,65,16
875,Traditional,Medicare Advantage / Part C,5/31/2019,1/31/2019,Dental,AA,PA,52,31
876,Medicare,Medicare Part B,6/15/2017,1/31/2019,Dental,YY,CT,83,16
877,Medicare,HMO Medical,7/1/2019,5/31/2019,clinical,YY,CT,150,8
878,Medicare,Medicare Advantage / Part C,7/1/2019,12/31/2017,clinical,YY,Ohio,12,42
879,HMO,HNO,5/31/2019,12/31/9999,Pharmacy,AA,CT,32,42
880,HMO,HNO,5/31/2019,6/30/2019,Dental,YY,CT,52,42
881,Medicaid,EPOs,7/1/2019,5/30/2019,Pharmacy,Avon,Ohio,83,16
882,Traditional,Medicare Part D,1/1/2017,5/30/2019,Pharmacy,YY,Ohio,150,70
883,Medicare,PPO,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,150,16
884,Traditional,HMO Commercial,1/1/2018,12/31/9999,clinical,Avon,PA,83,42
885,Medicare,POS,1/1/2017,12/31/9999,clinical,YY,Ohio,86,120
886,Medicare,Medicare Part A,1/1/2018,1/31/2019,Dental,Avon,Ohio,32,8
887,Medicare,POS,1/1/2017,12/31/9999,Pharmacy,AA,PA,52,45
888,HMO,HMO Commercial,7/1/2019,6/30/2019,Dental,AA,Ohio,32,45
889,Medicare,HMO Medical,1/1/2018,12/31/9999,Pharmacy,Avon,PA,83,16
890,HMO,Medicaid,1/1/2017,5/31/2019,Pharmacy,YY,PA,86,85
891,Medicare,HMO Medical,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,12,42
892,Medicare,Medicaid,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,65,52
893,Traditional,Medicare Part D,7/1/2019,6/30/2019,Pharmacy,Avon,PA,65,31
894,HMO,Medicare Advantage / Part C,1/1/2018,5/31/2019,Pharmacy,YY,CT,150,120
895,HMO,EPOs,1/1/2017,5/31/2019,Pharmacy,Avon,TX,47,42
896,HMO,HNO,7/1/2019,12/31/9999,clinical,AA,Ohio,85,31
897,HMO,Medicare Advantage / Part C,1/1/2017,12/31/9999,Dental,YY,PA,65,16
898,HMO,POS,1/1/2018,5/31/2019,Dental,YY,TX,47,16
899,Traditional,HNO,1/1/2018,12/31/9999,clinical,AA,Ohio,12,42
900,HMO,Medicare Part A,5/31/2019,12/31/9999,Dental,YY,CT,85,70
901,Medicare,POS,1/1/2017,12/31/9999,clinical,AA,PA,83,42
902,Medicaid,PPO,7/1/2019,12/31/9999,Pharmacy,AA,PA,32,120
903,Traditional,PPO,6/15/2017,12/31/9999,clinical,AA,PA,32,16
904,HMO,HMO Medical,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,52,8
905,Medicaid,POS,5/31/2019,12/31/2017,clinical,Avon,Ohio,150,8
906,Medicaid,HMO Commercial,7/1/2019,12/31/9999,Dental,YY,Ohio,83,31
907,Traditional,HMO Commercial,1/1/2018,5/31/2019,clinical,ZZ,PA,12,16
908,Traditional,HMO Commercial,1/31/2017,12/31/9999,Pharmacy,ZZ,TX,83,8
909,HMO,HMO Medical,7/1/2019,5/31/2019,Dental,AA,PA,150,42
910,HMO,Medicaid,5/31/2019,6/30/2019,Dental,Avon,CT,83,52
911,Medicare,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,Avon,Ohio,150,16
912,HMO,HNO,5/31/2019,1/31/2019,Pharmacy,AA,PA,32,85
913,HMO,POS,1/1/2017,12/31/9999,clinical,Avon,Ohio,32,42
914,Medicare,HMO Commercial,5/31/2019,6/30/2019,Pharmacy,AA,PA,52,31
915,Medicare,Medicare Part B,6/15/2017,12/31/9999,clinical,Avon,Ohio,150,8
916,Medicare,Medicare Part B,1/1/2017,12/31/9999,Pharmacy,Avon,Ohio,32,52
917,Traditional,POS,5/31/2019,12/31/9999,Pharmacy,AA,PA,150,120
918,Traditional,Medicare Part A,7/1/2019,12/31/9999,Dental,YY,Ohio,65,16
919,Traditional,HNO,6/15/2017,5/31/2019,clinical,Avon,PA,12,45
920,Medicaid,HNO,1/1/2018,12/31/9999,Pharmacy,AA,Ohio,65,31
921,Traditional,PPO,5/31/2019,6/30/2019,Dental,XX,CT,52,16
922,HMO,Medicare Part B,7/1/2019,12/31/9999,Dental,AA,TX,65,120
923,Medicare,EPOs,5/31/2019,5/31/2019,Dental,Avon,CT,83,42
924,Medicare,Medicare Part B,5/31/2019,5/30/2019,Pharmacy,AA,CT,47,52
925,Traditional,HMO Commercial,5/31/2019,12/31/9999,clinical,Avon,PA,83,85
926,Medicare,HMO Medical,1/1/2017,5/31/2019,Dental,ZZ,Ohio,65,16
927,Medicare,HNO,5/31/2019,1/31/2019,Pharmacy,AA,Ohio,32,70
928,HMO,Medicare Part D,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,52,16
929,Traditional,Medicaid,1/1/2017,5/31/2019,clinical,Avon,PA,65,42
930,Traditional,HMO Commercial,5/31/2019,12/31/2017,clinical,Avon,Ohio,32,120
931,HMO,HMO Commercial,1/31/2017,5/31/2019,clinical,AA,CT,47,16
932,HMO,Medicare Part A,7/1/2019,12/31/9999,clinical,AA,Ohio,47,70
933,Medicare,EPOs,1/31/2017,12/31/9999,clinical,AA,CT,32,16
934,Traditional,Medicaid,5/31/2019,5/31/2019,Pharmacy,AA,CT,65,52
935,Medicare,Medicare Part D,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,47,45
936,HMO,Medicare Part D,1/1/2017,6/30/2019,clinical,Avon,Ohio,47,42
937,Traditional,Medicare Advantage / Part C,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,65,45
938,HMO,Medicare Advantage / Part C,7/1/2019,12/31/9999,clinical,YY,Ohio,65,8
939,Medicare,EPOs,7/1/2019,12/31/9999,clinical,AA,Ohio,47,8
940,Medicare,HNO,5/31/2019,12/31/9999,Dental,Avon,Ohio,65,8
941,Traditional,Medicaid,1/1/2018,12/31/9999,clinical,XX,CT,150,52
